label,domain,method,k,prec_mean,prec_std,spearman
tags-ask-ubuntu,tags,localized,500,0.43625,0.014086784586980818,0.3558500468933108
tags-ask-ubuntu,tags,localized,1000,0.53,0.054772255750516606,0.4370083772701554
tags-ask-ubuntu,tags,localized,2000,0.635,0.024494897427831803,0.542778337382457
tags-ask-ubuntu,tags,localized,5000,0.74875,0.03550968177835448,0.6932443698014227
tags-ask-ubuntu,tags,localized,10000,0.815,0.02783882181415009,0.8091015020577327
tags-ask-ubuntu,tags,localized,20000,0.8674999999999999,0.025372228912730572,0.8962962181295495
tags-ask-ubuntu,tags,localized,50000,0.915,0.015811388300841864,0.9640011591884478
tags-ask-ubuntu,tags,weighted,200,0.40750000000000003,0.02947456530637899,0.2968933039136936
tags-ask-ubuntu,tags,weighted,500,0.49749999999999994,0.04322904116447647,0.4151341769843079
tags-ask-ubuntu,tags,weighted,1000,0.60875,0.04226035376094243,0.5141656380236128
tags-ask-ubuntu,tags,weighted,2000,0.70875,0.02758509561339238,0.6009161434198208
tags-ask-ubuntu,tags,weighted,5000,0.81875,0.02420614591379633,0.7143700460382694
tags-ask-ubuntu,tags,weighted,10000,0.885,0.02500000000000002,0.7854140834380894
tags-ask-ubuntu,tags,weighted,20000,0.9225,0.014790199457749021,0.8560859729589858
tags-ask-ubuntu,tags,weighted,50000,0.9425,0.011989578808281769,0.9148473605483756
