model,block,train,test,perfect_over_loc,learned_over_loc,capture,pred_corr
gbt,ABC,congress-bills,invs13,1.2663198563455473,0.9969282398955983,-0.01153410093619197,0.07725068384040537
ridge,A,congress-bills,math-cocitations,1.8053571194025417,1.0,0.0,
ridge,AB,congress-bills,math-cocitations,1.8053571194025417,1.0530573294741064,0.06588049971355217,0.4412945944067178
ridge,ABC,congress-bills,math-cocitations,1.8053571194025417,1.1208597420573043,0.15006975060574956,0.5441020324061882
gbt,ABC,congress-bills,math-cocitations,1.8053571194025417,1.0020907379589175,0.002596038339449311,0.11516299207797626
ridge,A,congress-bills,neuro-cocitations,2.1242543379282326,0.9688111684068271,-0.027741793418958396,0.2656160789487272
ridge,AB,congress-bills,neuro-cocitations,2.1242543379282326,0.7949734575140256,-0.18236669014219306,0.24256304296686954
ridge,ABC,congress-bills,neuro-cocitations,2.1242543379282326,0.8974885109677998,-0.0911817598330175,0.3432272172052999
gbt,ABC,congress-bills,neuro-cocitations,2.1242543379282326,1.0505806171096042,0.044990368640972944,0.18909086739463757
ridge,A,congress-bills,physics-cocitations,1.8439255034952018,0.9996654034739805,-0.00039647637692398333,0.10635233875863412
ridge,AB,congress-bills,physics-cocitations,1.8439255034952018,1.0467159696768424,0.055355560986560526,0.42268473637348153
ridge,ABC,congress-bills,physics-cocitations,1.8439255034952018,1.0912804218280332,0.10816170556522609,0.49556275704543923
gbt,ABC,congress-bills,physics-cocitations,1.8439255034952018,1.0084761197325316,0.010043682407305975,0.374222071343403
ridge,A,congress-bills,plant-pollinator-mpl-014,2.5834026366365537,1.0,0.0,
ridge,AB,congress-bills,plant-pollinator-mpl-014,2.5834026366365537,0.881493216821567,-0.0748431134548088,-0.09375634786822795
ridge,ABC,congress-bills,plant-pollinator-mpl-014,2.5834026366365537,0.8852498853455065,-0.07247058454964077,-0.013449530089366548
gbt,ABC,congress-bills,plant-pollinator-mpl-014,2.5834026366365537,1.0058976883382227,0.003724692760870026,-0.03126491810699594
ridge,A,congress-bills,plant-pollinator-mpl-015,1.4102516667953713,1.0417524613780402,0.10177280132506047,0.6442365151448506
ridge,AB,congress-bills,plant-pollinator-mpl-015,1.4102516667953713,1.0648586590033131,0.15809480924221048,0.6798402059602893
ridge,ABC,congress-bills,plant-pollinator-mpl-015,1.4102516667953713,1.081132826082274,0.1977635501545494,0.7184775623471852
gbt,ABC,congress-bills,plant-pollinator-mpl-015,1.4102516667953713,1.136829917538626,0.33352678029916505,0.6135517136105065
ridge,A,congress-bills,plant-pollinator-mpl-016,3.056933205825239,1.0,0.0,
ridge,AB,congress-bills,plant-pollinator-mpl-016,3.056933205825239,0.8179852330604702,-0.08848841878971257,-0.08340734000026252
ridge,ABC,congress-bills,plant-pollinator-mpl-016,3.056933205825239,0.9277795503494883,-0.03511074129484769,0.05884196557393666
gbt,ABC,congress-bills,plant-pollinator-mpl-016,3.056933205825239,1.1375581695241794,0.06687537015524589,0.41037601081799163
ridge,A,congress-bills,plant-pollinator-mpl-021,2.745487382389059,1.0149936887071078,0.008589972553445716,0.33666472741703285
ridge,AB,congress-bills,plant-pollinator-mpl-021,2.745487382389059,0.9788125508269478,-0.01213841439750356,0.2085239583691381
ridge,ABC,congress-bills,plant-pollinator-mpl-021,2.745487382389059,1.031882128823945,0.018265459347123883,0.2601354947530911
gbt,ABC,congress-bills,plant-pollinator-mpl-021,2.745487382389059,1.1041196174996613,0.05965074199342084,0.1909822125091921
ridge,A,congress-bills,plant-pollinator-mpl-034,5.693354349219635,1.0,0.0,
ridge,AB,congress-bills,plant-pollinator-mpl-034,5.693354349219635,0.902725076331395,-0.020726098314903272,0.06668554963498403
ridge,ABC,congress-bills,plant-pollinator-mpl-034,5.693354349219635,1.0387330853366905,0.0082527511145905,0.24507519770782724
gbt,ABC,congress-bills,plant-pollinator-mpl-034,5.693354349219635,1.2491382161468791,0.05308318903905123,0.6923539738840655
ridge,A,congress-bills,plant-pollinator-mpl-044,2.6781507980073496,0.9168464583640213,-0.049550696954478626,0.1445092003543889
ridge,AB,congress-bills,plant-pollinator-mpl-044,2.6781507980073496,0.9705971011892546,-0.017521011130619893,0.38201786268337945
ridge,ABC,congress-bills,plant-pollinator-mpl-044,2.6781507980073496,1.0733320546301572,0.04369813172763279,0.44005625093968287
gbt,ABC,congress-bills,plant-pollinator-mpl-044,2.6781507980073496,1.0744566583822928,0.04436827636151842,0.08386251020247848
ridge,A,congress-bills,plant-pollinator-mpl-049,3.7357043527991034,0.9779703693466021,-0.008052635742914893,0.04534590626717411
ridge,AB,congress-bills,plant-pollinator-mpl-049,3.7357043527991034,1.0091312631708873,0.003337810667130177,0.09646395862671041
ridge,ABC,congress-bills,plant-pollinator-mpl-049,3.7357043527991034,1.168285014957962,0.06151432803247801,0.3193317949486354
gbt,ABC,congress-bills,plant-pollinator-mpl-049,3.7357043527991034,1.2379100497983908,0.08696482481923432,0.31551380414432745
ridge,A,congress-bills,plant-pollinator-mpl-057,1.8564782392421568,1.0487899409900188,0.056965768369304844,0.6628471372949715
ridge,AB,congress-bills,plant-pollinator-mpl-057,1.8564782392421568,1.0989059178300804,0.11547977905147476,0.618017054675504
ridge,ABC,congress-bills,plant-pollinator-mpl-057,1.8564782392421568,1.1294717864141979,0.1511676309823811,0.6480103532644231
gbt,ABC,congress-bills,plant-pollinator-mpl-057,1.8564782392421568,1.0526056596407771,0.061420894577922415,0.035594972548739334
ridge,A,congress-bills,plant-pollinator-mpl-062,1.2434886859657044,1.035730785930936,0.1467451589761696,0.693505181834771
ridge,AB,congress-bills,plant-pollinator-mpl-062,1.2434886859657044,1.0437067718238924,0.1795022698921153,0.7497176145357634
ridge,ABC,congress-bills,plant-pollinator-mpl-062,1.2434886859657044,1.040581453909476,0.16666669232915374,0.7533790356981632
gbt,ABC,congress-bills,plant-pollinator-mpl-062,1.2434886859657044,1.0345745409152864,0.14199649884412413,0.6335228169598255
ridge,A,congress-bills,senate-committees,1.3189930045470284,1.0771326976997082,0.24180059311719707,0.8203340145353301
ridge,AB,congress-bills,senate-committees,1.3189930045470284,1.0929966086078975,0.29153181192782934,0.8520951831151055
ridge,ABC,congress-bills,senate-committees,1.3189930045470284,1.0940915544808685,0.2949643194040538,0.8297547713513196
gbt,ABC,congress-bills,senate-committees,1.3189930045470284,1.1438527592116607,0.45095897766138276,0.8026543586993927
ridge,A,tags-math-sx,contact-primary-school,1.1318799492854903,1.0394800141802094,0.2993632799686941,0.7703633374706671
ridge,AB,tags-math-sx,contact-primary-school,1.1318799492854903,1.0428157663104298,0.3246571335703456,0.7722790307897286
ridge,ABC,tags-math-sx,contact-primary-school,1.1318799492854903,1.0428001096979513,0.3245384148980735,0.7725637169190759
gbt,ABC,tags-math-sx,contact-primary-school,1.1318799492854903,1.036297464073754,0.2752311042763452,0.6879529753878489
ridge,A,tags-math-sx,contact-high-school,1.3149893580660719,0.985639833481461,-0.04558937040510055,0.3401573853148859
ridge,AB,tags-math-sx,contact-high-school,1.3149893580660719,0.9874747511627441,-0.03976403810641957,0.3405041069439246
ridge,ABC,tags-math-sx,contact-high-school,1.3149893580660719,0.9875431102934622,-0.03954701766122795,0.34080760748854305
gbt,ABC,tags-math-sx,contact-high-school,1.3149893580660719,1.007154674762579,0.022714020583127985,0.32268583585968313
ridge,A,tags-math-sx,email-Enron,1.80346655331272,1.0386945693067455,0.048159527172856785,0.4816522905200678
ridge,AB,tags-math-sx,email-Enron,1.80346655331272,1.0336603499394559,0.04189390311354357,0.47570011736369167
ridge,ABC,tags-math-sx,email-Enron,1.80346655331272,1.0350167907289365,0.04358213865227004,0.477062883742821
gbt,ABC,tags-math-sx,email-Enron,1.80346655331272,1.301967678647447,0.3758310503435693,0.6837802242042872
ridge,A,tags-math-sx,email-Eu,1.6725121109900603,1.2572224878295999,0.38248008270203726,0.8183853040921643
ridge,AB,tags-math-sx,email-Eu,1.6725121109900603,1.2632768398313377,0.3914826744811275,0.820241371129834
ridge,ABC,tags-math-sx,email-Eu,1.6725121109900603,1.2648250231131866,0.39378476429713055,0.8212026474137837
gbt,ABC,tags-math-sx,email-Eu,1.6725121109900603,1.349973293468349,0.5203970125580707,0.7490243085577419
ridge,A,tags-math-sx,NDC-classes,4.08325149712881,1.8406147902033805,0.27263906009165295,0.688460483439812
ridge,AB,tags-math-sx,NDC-classes,4.08325149712881,1.8511821960505415,0.2760664178200126,0.6859853575211904
ridge,ABC,tags-math-sx,NDC-classes,4.08325149712881,1.8542110813934247,0.2770487850857721,0.6866253631602053
gbt,ABC,tags-math-sx,NDC-classes,4.08325149712881,1.6918815540664893,0.22439997344063056,0.6938047302444862
ridge,A,tags-math-sx,NDC-substances,1.9382074303228396,1.617646810661052,0.6583264965707191,0.920410855165484
ridge,AB,tags-math-sx,NDC-substances,1.9382074303228396,1.6195055293695837,0.6603076349079972,0.9180513122305985
ridge,ABC,tags-math-sx,NDC-substances,1.9382074303228396,1.619809526299316,0.6606316537975381,0.9182515862942529
gbt,ABC,tags-math-sx,NDC-substances,1.9382074303228396,1.8290479161708406,0.8836509809835583,0.9590973203921609
ridge,A,tags-math-sx,DAWN,1.0417909408473682,0.9976337021190577,-0.056622268677431635,0.9728190813138702
ridge,AB,tags-math-sx,DAWN,1.0417909408473682,0.9955831815984661,-0.10568841744112105,0.9721559031343615
ridge,ABC,tags-math-sx,DAWN,1.0417909408473682,0.9957529203778155,-0.10162680083456344,0.9722056564527816
gbt,ABC,tags-math-sx,DAWN,1.0417909408473682,1.043650078831678,1.0444866266854314,0.9782322191287685
ridge,A,tags-math-sx,congress-bills,1.066851977621039,1.014879358779363,0.22257170705867474,0.842203100213523
ridge,AB,tags-math-sx,congress-bills,1.066851977621039,1.0221790471408625,0.33176351590655895,0.8483829879799974
ridge,ABC,tags-math-sx,congress-bills,1.066851977621039,1.0222333024619699,0.3325750898201224,0.849141050421359
gbt,ABC,tags-math-sx,congress-bills,1.066851977621039,1.0564447007865938,0.8443235756847689,0.8484398099296846
